01.01.2020;5
01.02.2020;7
01.03.2020;9
01.04.2020;11
01.05.2020;4
01.06.2020;6
01.07.2020;8
01.08.2020;10
01.09.2020;12
01.10.2020;5
01.11.2020;7
01.12.2020;9
01.01.2021;11
01.02.2021;4
01.03.2021;6
01.04.2021;8
01.05.2021;10
01.06.2021;12
01.07.2021;5
01.08.2021;7
01.09.2021;9
01.10.2021;11
01.11.2021;4
01.12.2021;6
01.01.2022;8
01.02.2022;10
01.03.2022;12
01.04.2022;5
01.05.2022;7
01.06.2022;9
01.07.2022;11
01.08.2022;4
01.09.2022;6
01.10.2022;8
01.11.2022;10
01.12.2022;12
01.01.2023;5
01.02.2023;7
01.03.2023;9
01.04.2023;11
01.05.2023;4
01.06.2023;6
01.07.2023;8
01.08.2023;10
01.09.2023;12
01.10.2023;5
01.11.2023;7
01.12.2023;9
01.01.2024;11
01.02.2024;4
01.03.2024;6
